time,cumate,od,fluorescence,phi,growth_rate,production_rate,od_se,fluorescence_se,phi_se,growth_rate_se,production_rate_se
5.1375,250,0.258344444,73.33333333,300.5939944,0.036236151,11.59022396,0.020912783,2.758824226,29.10593575,0.008740025,6.845245929
5.422777778,250,0.262855556,71.77777778,288.3840381,0.029794326,11.86328328,0.021017302,2.145911991,26.2336135,0.00854672,5.191979933
5.708333333,250,0.266666667,71.22222222,282.2819818,0.044299669,14.26771711,0.021426593,1.681416217,25.29827037,0.012213993,3.544679999
5.993611111,250,0.269244444,71.44444444,279.6881107,0.039617082,13.87080996,0.021492596,1.281395844,23.64170563,0.016901306,3.264470305
6.279166667,250,0.2726,71.55555556,275.9217879,0.039547792,16.60237578,0.021535881,0.929622252,22.10313963,0.01837805,2.646071912
6.564444444,250,0.276588889,72.11111111,273.2171466,0.015155939,18.16891979,0.021675604,0.563827309,20.37193503,0.011722125,2.989644826
6.849722222,250,0.279844444,72.88888889,272.9017121,0.015750406,21.57594352,0.022073005,0.423098506,20.07714159,0.009333301,3.629741569
7.135277778,250,0.280855556,74.11111111,276.0874529,0.048681274,16.25603876,0.02238594,0.512196914,19.34520883,0.028540833,3.235008578
7.420555556,250,0.284722222,75.22222222,275.482883,0.019975777,22.12687378,0.022013208,0.493788579,18.39865801,0.014246305,3.20298473
7.706111111,250,0.287144444,76.66666667,278.1527636,0.011882579,13.3556107,0.022295279,0.726483157,18.05817606,0.008697172,4.612390679
7.991388889,250,0.288744444,78.11111111,282.0450887,0.010409542,17.3577656,0.022608492,0.715783263,18.47456785,0.013637673,2.829291584
8.276944444,250,0.289144444,79.55555556,287.12567,0.016097083,15.01507591,0.022767137,0.689426314,19.14816043,0.011735238,4.617701695
8.562222222,250,0.293155556,80.88888889,286.6984329,0.014009683,16.86997463,0.022270416,0.824022054,17.85009481,0.012581056,3.402657802
8.847777778,250,0.294933333,82.22222222,289.7867519,0.004995821,14.06258729,0.022282523,0.741203559,18.30595,0.009654059,3.530597941
9.133055556,250,0.295033333,83.77777778,295.6415911,0.014571749,15.40857893,0.022516512,0.722222222,19.22226453,0.016240809,3.702858278
9.418333333,250,0.296288889,84.77777778,297.2302995,0.013244235,16.16346479,0.022346678,0.812707713,18.53781704,0.014394135,2.05163949
9.703888889,250,0.299188889,86.66666667,300.690629,0.003785194,10.73360157,0.022332876,0.849836586,18.55844033,0.010893103,4.564668679
9.989166667,250,0.300077778,87.88888889,304.2709997,0.002141949,9.972440603,0.022384412,0.75359222,19.18488254,0.009904332,3.143438194
10.27472222,250,0.300055556,88.77777778,307.5519526,0.008599776,11.36291304,0.022446276,0.682678096,19.68073814,0.012453437,3.007571133
10.56,250,0.301433333,90,309.7425509,0.014846105,12.41700121,0.022090483,0.645497224,19.20951608,0.011565651,4.066203065
10.84555556,250,0.302788889,91,312.0138872,-0.00787505,10.82667543,0.022239264,0.577350269,19.70269665,0.0121822,3.239719544
11.13083333,250,0.302111111,91.66666667,315.3471383,-0.010452087,7.386468591,0.022522911,0.645497224,20.2217958,0.010862569,2.381979276
11.41611111,250,0.3009,92.66666667,320.1579292,0.008810504,15.37913761,0.022295129,0.372677996,20.80633814,0.011970735,3.381853473
11.70166667,250,0.302433333,93.44444444,320.879633,0.013071941,0.6484603,0.022049421,0.337931252,20.70811936,0.009610331,1.925410033
11.98694444,250,0.302888889,94.22222222,323.3550648,-0.007979047,11.8527708,0.022016575,0.323941772,21.3673587,0.012698672,3.581620972
12.2725,250,0.301511111,95,328.092131,0.007600036,17.40133986,0.022205733,0.440958552,22.50828738,0.016666861,7.639393613
12.55777778,250,0.3023,95.44444444,328.9452804,0.02596448,30.88068092,0.022093564,0.580017028,23.03832395,0.020080781,21.32408933
12.84333333,250,0.303188889,96.44444444,331.0835955,0.03125501,68.61030301,0.022043835,0.555555556,22.78388917,0.024930759,36.35459004
